cond_1	cond_2	time	mean_crossval_score	metric
1_item/short	1_item/long	-3.59	0.5	roc_auc
1_item/short	1_item/long	-3.58	0.8888888888888888	roc_auc
1_item/short	1_item/long	-3.57	0.5555555555555556	roc_auc
1_item/short	1_item/long	-3.56	0.22222222222222224	roc_auc
1_item/short	1_item/long	-3.55	0.4444444444444444	roc_auc
1_item/short	1_item/long	-3.54	0.7222222222222222	roc_auc
1_item/short	1_item/long	-3.53	0.6666666666666667	roc_auc
1_item/short	1_item/long	-3.52	0.6666666666666667	roc_auc
1_item/short	1_item/long	-3.51	0.05555555555555556	roc_auc
1_item/short	1_item/long	-3.5	0.888888888888889	roc_auc
1_item/short	1_item/long	-3.49	0.4444444444444445	roc_auc
1_item/short	1_item/long	-3.48	0.7222222222222223	roc_auc
1_item/short	1_item/long	-3.47	0.5	roc_auc
1_item/short	1_item/long	-3.46	0.8333333333333335	roc_auc
1_item/short	1_item/long	-3.45	0.4444444444444445	roc_auc
1_item/short	1_item/long	-3.44	0.6111111111111112	roc_auc
1_item/short	1_item/long	-3.43	0.22222222222222224	roc_auc
1_item/short	1_item/long	-3.42	0.6111111111111112	roc_auc
1_item/short	1_item/long	-3.41	0.888888888888889	roc_auc
1_item/short	1_item/long	-3.4	0.7777777777777778	roc_auc
1_item/short	1_item/long	-3.39	0.33333333333333337	roc_auc
1_item/short	1_item/long	-3.38	0.5555555555555556	roc_auc
1_item/short	1_item/long	-3.37	0.38888888888888895	roc_auc
1_item/short	1_item/long	-3.36	0.11111111111111112	roc_auc
1_item/short	1_item/long	-3.35	0.5555555555555556	roc_auc
1_item/short	1_item/long	-3.34	0.33333333333333337	roc_auc
1_item/short	1_item/long	-3.33	0.11111111111111112	roc_auc
1_item/short	1_item/long	-3.32	0.16666666666666669	roc_auc
1_item/short	1_item/long	-3.31	0.0	roc_auc
1_item/short	1_item/long	-3.3	0.05555555555555556	roc_auc
1_item/short	1_item/long	-3.29	0.4444444444444445	roc_auc
1_item/short	1_item/long	-3.28	0.6111111111111112	roc_auc
1_item/short	1_item/long	-3.27	0.9444444444444444	roc_auc
1_item/short	1_item/long	-3.26	0.16666666666666669	roc_auc
1_item/short	1_item/long	-3.25	0.5555555555555556	roc_auc
1_item/short	1_item/long	-3.24	0.33333333333333337	roc_auc
1_item/short	1_item/long	-3.23	0.3888888888888889	roc_auc
1_item/short	1_item/long	-3.22	0.33333333333333337	roc_auc
1_item/short	1_item/long	-3.21	0.2777777777777778	roc_auc
1_item/short	1_item/long	-3.2	0.5555555555555556	roc_auc
1_item/short	1_item/long	-3.19	0.7222222222222223	roc_auc
1_item/short	1_item/long	-3.18	0.7777777777777779	roc_auc
1_item/short	1_item/long	-3.17	0.5555555555555556	roc_auc
